t,ecg
0.343574,552
0.343638,489
0.343663,560
0.343679,549
0.343693,565
0.343709,534
0.343723,556
0.343736,536
0.343750,558
0.343764,544
0.448712,571
0.448769,547
0.448788,569
0.448803,570
0.448817,581
0.448831,555
0.448846,595
0.448860,556
0.448874,566
0.448887,530
0.523558,591
0.523610,580
0.523626,579
0.523639,568
0.523655,587
0.523669,543
0.523682,568
0.523699,548
0.523712,587
0.523726,532
0.629818,572
0.629870,556
0.629889,570
0.629903,555
0.629917,565
0.629930,531
0.629944,560
0.629958,516
0.629971,568
0.629984,554
0.739805,569
0.739840,542
0.739856,557
0.739870,531
0.739884,546
0.739897,485
0.739910,521
0.739923,566
0.739936,594
0.739949,543
0.828539,568
0.828583,532
0.828601,544
0.828615,504
0.828629,534
0.828643,667
0.828656,716
0.828669,630
0.828685,532
0.828699,326
0.934823,406
0.934852,535
0.934867,637
0.934880,712
0.934897,689
0.934911,635
0.934924,676
0.934937,608
0.934951,629
0.934964,648
1.046072,714
1.046109,720
1.046125,1022
1.046139,1023
1.046153,1022
1.046167,1023
1.046189,1022
1.046203,1022
1.046217,1022
1.046230,1022
1.123609,1022
1.123674,1014
1.123688,984
1.123702,862
1.123715,831
1.123726,736
1.123738,692
1.123749,609
1.123761,587
1.123772,504
1.228397,491
1.228430,417
1.228440,426
1.228445,475
1.228450,496
1.228455,414
1.228459,398
1.228464,332
1.228468,340
1.228473,285
1.334668,315
1.334701,266
1.334706,306
1.334711,259
1.334715,275
1.334720,231
1.334724,257
1.334729,183
1.334740,258
1.334745,231
1.445910,293
1.445935,247
1.445941,317
1.445963,274
1.445969,294
1.445974,274
1.445979,284
1.445983,282
1.445987,331
1.445992,274
1.529737,311
1.529769,274
1.529774,304
1.529779,292
1.529784,322
1.529788,259
1.529793,325
1.529797,287
1.529805,332
1.529810,294
1.637158,330
1.637190,307
1.637196,329
1.637201,299
1.637205,383
1.637210,321
1.637214,355
1.637219,342
1.637223,364
1.637228,316
1.723333,355
1.723343,316
1.723348,366
1.723353,376
1.723357,388
1.723361,354
1.723366,396
1.723370,350
1.723381,397
1.723386,311
1.827146,415
1.827164,411
1.827169,434
1.827174,385
1.827178,394
1.827182,365
1.827187,415
1.827191,421
1.827196,438
1.827200,393
1.935887,481
1.935900,423
1.935905,425
1.935910,417
1.935915,496
1.935919,422
1.935924,342
1.935929,200
1.935933,179
1.935937,292
2.018387,487
2.018403,524
2.018411,590
2.018416,541
2.018420,520
2.018425,483
2.018430,511
2.018450,449
2.018455,469
2.018460,491
2.123401,519
2.123420,470
2.123425,499
2.123430,458
2.123434,486
2.123439,426
2.123443,465
2.123447,448
2.123452,477
2.123456,451
2.227140,489
2.227155,439
2.227160,469
2.227164,419
2.227168,442
2.227173,444
2.227177,472
2.227181,444
2.227185,480
2.227190,460
2.340894,487
2.340909,438
2.340914,455
2.340918,493
2.340922,488
2.340927,463
2.340932,508
2.340936,469
2.340940,490
2.340945,440
2.419675,453
2.419703,451
2.419708,510
2.419713,478
2.419717,508
2.419722,460
2.419726,478
2.419731,449
2.419735,470
2.419740,500
